Test MSE,Val MSE,Epoch,Model
44.04893984790063,52.065367592909986,1,MPNNModel
40.951186186490794,47.76048297937259,2,MPNNModel
38.34976152567604,45.86809113814263,3,MPNNModel
35.65633429497224,42.43857429526466,4,MPNNModel
32.8309040525012,39.35694924982673,5,MPNNModel
29.832233651205826,36.43863303498109,6,MPNNModel
27.286496953955126,33.32722607045187,7,MPNNModel
23.546597485328245,30.14673101706583,8,MPNNModel
20.66238324621687,26.677797264165335,9,MPNNModel
17.919701212798284,24.013247983779834,10,MPNNModel
14.928599156304099,21.568444173844135,11,MPNNModel
12.751045802716654,19.7809972073326,12,MPNNModel
11.40259108229148,17.79013970870751,13,MPNNModel
9.969980081377877,17.01057781340876,14,MPNNModel
9.198576569215616,15.26123987122465,15,MPNNModel
8.26476251407248,14.916875480570926,16,MPNNModel
8.26476251407248,14.99799814104689,17,MPNNModel
7.353897459072051,14.121274206884342,18,MPNNModel
6.340564877164853,13.112773939406745,19,MPNNModel
6.340564877164853,13.638877872330934,20,MPNNModel
6.340564877164853,13.129317494229618,21,MPNNModel
5.551440157885765,13.00378059674137,22,MPNNModel
5.551440157885765,13.282078013700598,23,MPNNModel
5.057130826350725,12.54687291056119,24,MPNNModel
4.761098597543857,11.740864315051352,25,MPNNModel
4.761098597543857,12.056360978629574,26,MPNNModel
4.761098597543857,12.290697596227192,27,MPNNModel
4.775310614730704,11.360458723489435,28,MPNNModel
4.775310614730704,12.92164220414488,29,MPNNModel
4.775310614730704,12.606014060422332,30,MPNNModel
4.775310614730704,11.718850798868973,31,MPNNModel
4.775310614730704,11.89975072700699,32,MPNNModel
4.775310614730704,12.895608024633955,33,MPNNModel
4.775310614730704,11.492863727742474,34,MPNNModel
4.775310614730704,14.579268861069858,35,MPNNModel
3.9917742374861023,11.13496461461802,36,MPNNModel
3.9917742374861023,11.137912996709634,37,MPNNModel
3.9917742374861023,20.261135277890652,38,MPNNModel
3.9917742374861023,11.158971052620426,39,MPNNModel
3.9917742374861023,12.045981430156711,40,MPNNModel
3.9917742374861023,14.724500474037752,41,MPNNModel
3.9917742374861023,11.583953386562424,42,MPNNModel
3.9917742374861023,14.730044148812068,43,MPNNModel
3.9917742374861023,11.142204119131444,44,MPNNModel
3.9721375878014333,11.003058397666468,45,MPNNModel
3.600707707227472,10.862909832019126,46,MPNNModel
3.600707707227472,12.49933916347581,47,MPNNModel
3.600707707227472,10.922626535825811,48,MPNNModel
3.6743145863442845,9.968455275091394,49,MPNNModel
3.6743145863442845,12.593270830616081,50,MPNNModel
3.6743145863442845,11.608174852832878,51,MPNNModel
3.6743145863442845,14.01442917517549,52,MPNNModel
3.6743145863442845,10.148333454775834,53,MPNNModel
3.4142391975424693,9.661351894573627,54,MPNNModel
3.4142391975424693,11.529043434900856,55,MPNNModel
3.4142391975424693,11.09590306001551,56,MPNNModel
3.4142391975424693,10.547289520013528,57,MPNNModel
3.4142391975424693,10.6803280288711,58,MPNNModel
3.4142391975424693,13.14600867084735,59,MPNNModel
3.4142391975424693,10.967673317330782,60,MPNNModel
3.4142391975424693,11.168398997822745,61,MPNNModel
3.4142391975424693,14.192260628151226,62,MPNNModel
3.4142391975424693,10.310276623747043,63,MPNNModel
3.4142391975424693,11.874214886009636,64,MPNNModel
